id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date,genres
08ofboy41dw49q7DA7Zohh,I Thought Wrong,Cartier Vision,6qLbcpstVreuKrpeJmCIgD,['Cartier God'],['0JNHpdag1QhEEdQkKQvquh'],1,1,True,0.486,0.524,1,-8.49,1,0.2,0.62,0.000108,0.154,0.251,113.575,132362,4.0,2020,2020-11-14,"[""glitchcore"", ""underground hip hop""]"
4cVaPPuyMv5ceXoAUhWw8D,I Wanna Know,Cartier Vision,6qLbcpstVreuKrpeJmCIgD,['Cartier God'],['0JNHpdag1QhEEdQkKQvquh'],2,1,True,0.3329999999999999,0.563,0,-7.606,1,0.2269999999999999,0.518,0.617,0.163,0.358,97.273,97149,4.0,2020,2020-11-14,"[""glitchcore"", ""underground hip hop""]"
2VW2Ip6mEdgroNC985aErm,Late Nyte Loverz,Cartier Vision,6qLbcpstVreuKrpeJmCIgD,['Cartier God'],['0JNHpdag1QhEEdQkKQvquh'],3,1,True,0.242,0.662,4,-8.256,1,0.177,0.0399,0.0,0.163,0.349,175.03799999999995,211409,5.0,2020,2020-11-14,"[""glitchcore"", ""underground hip hop""]"
5laPbj21WRFlkYSa0r4bsr,Cuz I'm On,Cartier Vision,6qLbcpstVreuKrpeJmCIgD,['Cartier God'],['0JNHpdag1QhEEdQkKQvquh'],4,1,True,0.382,0.6859999999999999,10,-7.202000000000001,1,0.132,0.0685,0.00278,0.326,0.496,133.616,146782,4.0,2020,2020-11-14,"[""glitchcore"", ""underground hip hop""]"
2A7RuncNjDRwQVQhenSoal,Model X,Cartier Vision,6qLbcpstVreuKrpeJmCIgD,['Cartier God'],['0JNHpdag1QhEEdQkKQvquh'],5,1,True,0.5660000000000001,0.477,7,-10.237,1,0.102,0.0469,4.85e-06,0.13,0.171,139.963,150936,4.0,2020,2020-11-14,"[""glitchcore"", ""underground hip hop""]"
3XfdurhMtgRocEhCinDsxT,Cartier'Vision,Cartier Vision,6qLbcpstVreuKrpeJmCIgD,['Cartier God'],['0JNHpdag1QhEEdQkKQvquh'],6,1,True,0.266,0.6559999999999999,6,-7.4929999999999986,0,0.152,0.00619,0.0,0.6890000000000001,0.213,164.43200000000004,140878,4.0,2020,2020-11-14,"[""glitchcore"", ""underground hip hop""]"
5nWRhOEux83g6DZYMARIpw,Transylvania,Cartier Vision,6qLbcpstVreuKrpeJmCIgD,"['Cartier God', 'Diamonds on my dick']","['0JNHpdag1QhEEdQkKQvquh', '55NZPuzpZIWbgjFopQw6wI']",7,1,True,0.465,0.62,1,-8.276,1,0.043,0.0156,0.0,0.193,0.173,141.858,139651,4.0,2020,2020-11-14,"[""glitchcore"", ""underground hip hop""]"
5CFlPoX0LBzF85ser1iRe2,Later On,Cartier Vision,6qLbcpstVreuKrpeJmCIgD,['Cartier God'],['0JNHpdag1QhEEdQkKQvquh'],8,1,True,0.325,0.5770000000000001,0,-7.83,1,0.0764,0.561,0.0,0.0928,0.618,148.44299999999996,135706,4.0,2020,2020-11-14,"[""glitchcore"", ""underground hip hop""]"
19LuYr3lvfS7shfNVzrFeq,Always Forever,Cartier Vision,6qLbcpstVreuKrpeJmCIgD,['Cartier God'],['0JNHpdag1QhEEdQkKQvquh'],9,1,True,0.267,0.6759999999999999,10,-9.191,0,0.208,0.109,6.55e-06,0.131,0.264,94.34,112640,4.0,2020,2020-11-14,"[""glitchcore"", ""underground hip hop""]"
1qqliaUO1SwshgIrfhhZlX,2020 Vision,Cartier Vision,6qLbcpstVreuKrpeJmCIgD,"['Cartier God', 'Hi C', 'Diamonds on my dick']","['0JNHpdag1QhEEdQkKQvquh', '2mnjg5RPoHrYZ9bOKaEY1G', '55NZPuzpZIWbgjFopQw6wI']",10,1,True,0.352,0.445,1,-9.748,0,0.307,0.0146,0.0644,0.604,0.348,72.12,185078,4.0,2020,2020-11-14,"[""glitchcore"", ""underground hip hop""]"
3loCmxMaA8E9TDSkV90sIG,Fell 4 U,Cartier Vision,6qLbcpstVreuKrpeJmCIgD,['Cartier God'],['0JNHpdag1QhEEdQkKQvquh'],11,1,True,0.355,0.866,5,-7.505,1,0.053,0.654,0.0116,0.0491,0.654,78.3,122880,4.0,2020,2020-11-14,"[""glitchcore"", ""underground hip hop""]"
5Tcg9wrAeQuYLDkAvsacFA,Trap Phone,Cartier Vision,6qLbcpstVreuKrpeJmCIgD,['Cartier God'],['0JNHpdag1QhEEdQkKQvquh'],12,1,True,0.604,0.8340000000000001,5,-7.141,0,0.19,0.0825,2.17e-06,0.342,0.496,130.092,195788,4.0,2020,2020-11-14,"[""glitchcore"", ""underground hip hop""]"
0D9daYpf44VNA9rkBDEl6C,In Da Mood,Cartier Vision,6qLbcpstVreuKrpeJmCIgD,"['Cartier God', 'Based In London']","['0JNHpdag1QhEEdQkKQvquh', '6bx5I1qcYJP2QbMbVFsC0X']",13,1,True,0.406,0.611,1,-8.17,1,0.0395,0.182,0.00069,0.28,0.2269999999999999,140.03,147357,4.0,2020,2020-11-14,"[""glitchcore"", ""underground hip hop""]"
4pKuMtJ6DR3yJFsblYQ5MG,Can I Call U Bay,Cartier Vision,6qLbcpstVreuKrpeJmCIgD,['Cartier God'],['0JNHpdag1QhEEdQkKQvquh'],14,1,True,0.46,0.6940000000000001,0,-7.693,0,0.0575,0.0552,0.0,0.537,0.455,150.002,244846,4.0,2020,2020-11-14,"[""glitchcore"", ""underground hip hop""]"
5CUz41HRCDeFFTx6G30tIl,Futuristic,Cartier Vision,6qLbcpstVreuKrpeJmCIgD,"['Cartier God', 'Lil Shine', 'Play With Guns']","['0JNHpdag1QhEEdQkKQvquh', '5jcQ8hCc6NiBRww1AervT9', '0EYTHvldX0hV4AuF69bpBM']",15,1,True,0.43,0.742,1,-7.417000000000002,1,0.131,0.0015,0.0,0.46,0.439,79.062,112483,5.0,2020,2020-11-14,"[""glitchcore"", ""underground hip hop""]"
1rUfPGdGJFOdR2c7nsWDJB,R039,Cartier Vision,6qLbcpstVreuKrpeJmCIgD,['Cartier God'],['0JNHpdag1QhEEdQkKQvquh'],16,1,True,0.6409999999999999,0.556,3,-8.546,1,0.0408,0.357,0.00162,0.09,0.6509999999999999,77.446,120242,4.0,2020,2020-11-14,"[""glitchcore"", ""underground hip hop""]"
0YYolTmIEUkPK5fG6erD2I,I'm Gone,Cartier Vision,6qLbcpstVreuKrpeJmCIgD,['Cartier God'],['0JNHpdag1QhEEdQkKQvquh'],17,1,True,0.302,0.947,8,-7.649,0,0.47,0.00454,0.023,0.16,0.436,160.043,209058,4.0,2020,2020-11-14,"[""glitchcore"", ""underground hip hop""]"
4Xh3JQqU0veulqqUl6MpAZ,Rainy Day,Cartier Vision,6qLbcpstVreuKrpeJmCIgD,['Cartier God'],['0JNHpdag1QhEEdQkKQvquh'],18,1,True,0.41,0.627,4,-8.277000000000001,0,0.27,0.000558,0.0692,0.0846,0.407,131.063,116167,4.0,2020,2020-11-14,"[""glitchcore"", ""underground hip hop""]"
3IXt7U2YfjoEbo4SHu4FbK,So Many Hoes,Cartier Vision,6qLbcpstVreuKrpeJmCIgD,"['Cartier God', 'Yung Bang Bang']","['0JNHpdag1QhEEdQkKQvquh', '2qBLxZltZscvZemyL0qX7S']",19,1,True,0.337,0.62,1,-8.581,1,0.0447,0.0197,0.0,0.505,0.153,139.721,315768,4.0,2020,2020-11-14,"[""glitchcore"", ""underground hip hop""]"
4uAxT4UaqM9v8hyLLdyrms,Spit on God,Devoured by Damnation,79PINYYz25uXPG80z5MKu0,['Kratornas'],['2l02TDovt0xwUQCI1YpnE7'],1,1,True,0.2,0.977,7,-4.534,1,0.181,1.34e-05,0.845,0.0896,0.0607,130.203,284314,4.0,2016,2016-12-08,"[""pinoy metal""]"
2cF6lov0l2vxr75aRPzUPT,Dead Burning Christ,Devoured by Damnation,79PINYYz25uXPG80z5MKu0,['Kratornas'],['2l02TDovt0xwUQCI1YpnE7'],2,1,True,0.179,0.992,7,-5.08,1,0.182,1.87e-06,0.722,0.208,0.0346,123.696,190772,3.0,2016,2016-12-08,"[""pinoy metal""]"
0JY2Zmi4XOTnwcH41WIyp0,Archangels of Destruction,Devoured by Damnation,79PINYYz25uXPG80z5MKu0,['Kratornas'],['2l02TDovt0xwUQCI1YpnE7'],3,1,True,0.173,0.987,7,-4.355,1,0.195,4.11e-06,0.873,0.316,0.036,122.355,145844,4.0,2016,2016-12-08,"[""pinoy metal""]"
3v7YM8Do7qyRnE5ZUI6Nek,Deluge After Massacre,Devoured by Damnation,79PINYYz25uXPG80z5MKu0,['Kratornas'],['2l02TDovt0xwUQCI1YpnE7'],4,1,True,0.11,0.968,7,-4.928999999999999,1,0.109,5.6e-06,0.921,0.375,0.0355,163.451,157200,4.0,2016,2016-12-08,"[""pinoy metal""]"
3VniPRvu8SLyFZspczJFwF,Blood of the Devil,Devoured by Damnation,79PINYYz25uXPG80z5MKu0,['Kratornas'],['2l02TDovt0xwUQCI1YpnE7'],5,1,True,0.114,0.985,7,-4.864,1,0.1889999999999999,1.56e-06,0.918,0.295,0.0393,160.561,194927,4.0,2016,2016-12-08,"[""pinoy metal""]"
3ZLP4lGIJ4RTrFeQRsGcZh,Evil Is Reborn,Devoured by Damnation,79PINYYz25uXPG80z5MKu0,['Kratornas'],['2l02TDovt0xwUQCI1YpnE7'],6,1,True,0.174,0.968,7,-4.822,1,0.128,6.96e-06,0.8759999999999999,0.235,0.0523,84.76700000000002,351606,4.0,2016,2016-12-08,"[""pinoy metal""]"
1SHOdrcLJ0VDOdaE9pQdUK,Devoured by Damnation,Devoured by Damnation,79PINYYz25uXPG80z5MKu0,['Kratornas'],['2l02TDovt0xwUQCI1YpnE7'],7,1,True,0.1689999999999999,0.992,7,-5.317,1,0.2239999999999999,3.23e-06,0.885,0.324,0.0426,157.334,289843,4.0,2016,2016-12-08,"[""pinoy metal""]"
6jR0LnRPtui3cdGXfifA01,Cadavers of Gods,Devoured by Damnation,79PINYYz25uXPG80z5MKu0,['Kratornas'],['2l02TDovt0xwUQCI1YpnE7'],8,1,True,0.221,0.979,7,-5.233,1,0.158,8.47e-06,0.904,0.243,0.035,111.644,161357,4.0,2016,2016-12-08,"[""pinoy metal""]"
4PnLBbpkvJ4MN49aiFjkbz,Huios Diabolus,Devoured by Damnation,79PINYYz25uXPG80z5MKu0,['Kratornas'],['2l02TDovt0xwUQCI1YpnE7'],9,1,True,0.114,0.992,4,-4.436,0,0.225,3.63e-06,0.747,0.2739999999999999,0.0386,165.078,150826,4.0,2016,2016-12-08,"[""pinoy metal""]"
7oKToTVqsgf90TJykFArLy,World Within Demons,Devoured by Damnation,79PINYYz25uXPG80z5MKu0,['Kratornas'],['2l02TDovt0xwUQCI1YpnE7'],10,1,True,0.17,0.978,7,-5.452000000000001,1,0.267,4.2700000000000015e-05,0.92,0.3229999999999999,0.037,166.81400000000005,229151,4.0,2016,2016-12-08,"[""pinoy metal""]"
